Cidade,Bairro,Categoria,Anuncio,id
Rio de Janeiro,Irajá ,Oportunidades de EMPREGO,Clínica odontológica seleciona dentista para fazer parte da equipe  dias quinta e sextas  interessados entrar em contato pro e-mail ibodontolog@gmail.com.,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57609
Rio de Janeiro,Apollo/Itaboraí,Oportunidades de EMPREGO,Precisa se Endodontista para atendimento particular.Dias a combinar.Contatos: 968123758(whatsapp) ou por e-mail  jeniffermansano@hotmail.com,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57610
Rio de Janeiro,recreio,Oportunidades de EMPREGO,Endodontista-PLANO E PARTICULAR SOMENTE POR DIÁRIA-SESSÃO ÚNICA ROTATÓRIO/OSCILATÓRIO.LEVO TODO MATERIAL,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57611
Rio de Janeiro,Pavuna,Oportunidades de EMPREGO,EXCELENTE OPORTUNIDADE PARA CLÍNICO GERAL NA PAVUNA (PRÓXIMO AO METRÔ). DIAS E HORÁRIOS A COMBINAR . INTERESSADOS ENVIAR CURRÍCULO POR EMAIL .,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57613
Rio de Janeiro,Botafogo,Oportunidades de EMPREGO,Procuro ENDODONTISTA para atendimento a convênios e particulares .Clínica em Botafogo . Tel (21)987468330,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57618
Rio de Janeiro,Duque de Caxias,Oportunidades de EMPREGO,CLÍNICO-GERAL para atendimento de pacientes de convênio e particulares em clínica de GRANDE MOVIMENTO. Enviar MSG via Whats 99773313 Gustavo,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57630
Rio de Janeiro,Recreio dos Bandeirantes,Oportunidades de EMPREGO,Vaga para Ortodontista em clínica dentro do Recreio Shopping. Enviar CV para dudentecenter@gmail.com,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57632
Rio de Janeiro,recreio dos bandeirantes,Oportunidades de EMPREGO,Precisamos de especialista em Endodontia na proximidades do bairro do Recreio dos Bandeirantes interessados favor enviar currículo no e-mail informado.,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57642
Rio de Janeiro,Meier,Oportunidades de EMPREGO,PRECISA-SE de DENTISTA PLANTONISTA para Clinica 24 horas no MeierCom experiência em Clinica Geral e Cirurgia. (inclusive para os sábados e domingos.)interressados enviar curriculum via email.,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57663
Rio de Janeiro,Realengo,Oportunidades de EMPREGO,DENTISTA: clínico geral para Realengo. Dias disponíveis: terça a sábado.,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57665
Rio de Janeiro,andarai,Oportunidades de EMPREGO,vaga para auxiliar de consultório dentário para trabalhar de segunda a sábado com experiencia.,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57666
Rio de Janeiro,Campo Grande,Oportunidades de EMPREGO,ENDODONTISTA para clínica multidisciplinar alto padrão com grande movimento no Calçadão de Campo Grande. 23 anos de mercado. Currículo com disponibilidade de horário para cv.dentista@ig.com.br ou whatsapp 99985-6860,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57668
Rio de Janeiro,Nova Iguaçu,Oportunidades de EMPREGO,Seleciono clínico geral e endodontista para atendimento de bons convênios e particular no centro de nova Iguaçu.Contato whatsapp 994633447 Vivian,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57673
Rio de Janeiro,CAMPO GRANDE,Oportunidades de EMPREGO,precisa-se de ASB/recepcionista para clinica em campo grande interessados enviar  curriculo  pelo  watsapp:991459156  ,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57681
Rio de Janeiro,Cidade de Deus,Oportunidades de EMPREGO,Dentista com experiência mínima de dois anos em clínica ( que faça exodontia) e que tenha experiência.Somente atendimento particular. Inicio imediato.Período IntegralSalário fixo ,http://www.sistemas-cro-rj.org.br/classificados/anuncio_view.php?id=57682
